outer_fold,candidate,rank_inner_average_precision,mean_inner_average_precision,std_inner_average_precision,mean_inner_roc_auc,std_inner_roc_auc,mean_inner_brier_score,std_inner_brier_score,mean_inner_recall_at_0_50,std_inner_recall_at_0_50,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
3,17,24,0.5856718670782428,0.03573789588826559,0.774507068452381,0.037262640695806995,0.173783060645592,0.014351853096167044,0.42187500000000006,0.057763210970882384,250,5,0.1,5,1.0,0.8,0.25,0.1,5.0
3,37,25,0.5846981588541644,0.04394439467920484,0.76953125,0.040102070095498016,0.17184228919638495,0.011308472937815109,0.3333333333333333,0.014731391274719747,350,5,0.02,8,0.7,1.0,1.0,0.5,5.0
3,28,26,0.5839051068053749,0.035296265818929765,0.7672061011904762,0.04104935478710573,0.1813587056291278,0.018759475157434802,0.43749999999999994,0.04419417382415923,500,5,0.03,1,1.0,0.9,0.0,0.0,5.0
3,32,27,0.5825184890164408,0.03305430681922345,0.7796688988095238,0.035004233057041374,0.1732493975966202,0.014805727044093511,0.40625,0.03125,700,5,0.08,3,1.0,0.8,0.25,0.1,10.0
3,29,28,0.5822653467219674,0.02789360399490288,0.7782040550595238,0.04045744897476692,0.17186109877428604,0.010148201440377874,0.28125,0.023292374765622813,250,2,0.03,5,1.0,0.7,1.0,0.5,5.0
3,7,29,0.5814461686009258,0.0417933283331192,0.7624162946428572,0.04231298111842364,0.17718604034451735,0.014741915860999127,0.421875,0.040005967436815656,500,2,0.05,8,0.7,0.7,1.0,0.01,2.0
3,20,30,0.5801978364606002,0.043368431017726264,0.7685546875,0.04168915952429369,0.17384150969954507,0.013693970175992169,0.39583333333333337,0.03294039229342061,350,3,0.03,8,0.8,0.9,0.5,0.0,1.0
3,34,31,0.5800386096144388,0.04318915287268329,0.7680431547619048,0.03905253380517013,0.175747629450359,0.014066161669063758,0.421875,0.022702598664274338,500,5,0.02,5,0.8,1.0,0.25,0.5,2.0
3,10,32,0.5799038433401804,0.0370583189754603,0.7681826636904763,0.03780056999481705,0.17228120308694908,0.011096174679343256,0.3229166666666667,0.023292374765622806,250,3,0.03,8,0.8,0.8,0.0,0.1,10.0
3,24,33,0.5781193024771174,0.033036970618916014,0.7731119791666666,0.050296381647362255,0.17333342594927506,0.011717490750331764,0.24999999999999997,0.036084391824351615,150,3,0.02,3,1.0,0.8,0.5,0.01,1.0
3,18,34,0.5751137172312737,0.02737428594476918,0.7637648809523809,0.0379822007653653,0.18006944663134333,0.014545828717006859,0.421875,0.017274087449767713,350,3,0.08,8,1.0,0.9,0.0,0.0,1.0
