outer_fold,selected_calibration_method,threshold,brier_score,log_loss,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,specificity,accuracy,true_negative,false_positive,false_negative,true_positive,total_cost,average_cost,selected_threshold
3,isotonic,0.13,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.3752620545073375,0.9322916666666666,0.5351270553064275,0.6335565476190476,0.33482142857142855,0.5140625,150,298,13,179,363,0.5671875,False
3,isotonic,0.14,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.3849462365591398,0.9322916666666666,0.5449010654490106,0.6469494047619048,0.36160714285714285,0.5328125,162,286,13,179,351,0.5484375,False
3,isotonic,0.15,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.3968957871396896,0.9322916666666666,0.5567651632970451,0.6625744047619048,0.39285714285714285,0.5546875,176,272,13,179,337,0.5265625,True
3,isotonic,0.16,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.39864864864864863,0.921875,0.5566037735849056,0.6629464285714286,0.40401785714285715,0.559375,181,267,15,177,342,0.534375,False
3,isotonic,0.17,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.40274599542334094,0.9166666666666666,0.5596184419713831,0.6670386904761905,0.4174107142857143,0.5671875,187,261,16,176,341,0.5328125,False
3,isotonic,0.18,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.40420560747663553,0.9010416666666666,0.5580645161290323,0.6659226190476191,0.43080357142857145,0.571875,193,255,19,173,350,0.546875,False
3,isotonic,0.19,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.4075829383886256,0.8958333333333334,0.5602605863192183,0.6688988095238095,0.4419642857142857,0.578125,198,250,20,172,350,0.546875,False
3,isotonic,0.2,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.4156479217603912,0.8854166666666666,0.5657237936772047,0.6759672619047619,0.46651785714285715,0.5921875,209,239,22,170,349,0.5453125,False
3,isotonic,0.21,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.4221105527638191,0.875,0.5694915254237288,0.6808035714285714,0.48660714285714285,0.603125,218,230,24,168,350,0.546875,False
3,isotonic,0.22,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124,0.4256410256410256,0.8645833333333334,0.570446735395189,0.6822916666666667,0.5,0.609375,224,224,26,166,354,0.553125,False
